transaction_id,user_id,product_sku,amount,payment_method,country,transaction_hour,is_fraud
TXN_000100,USER_0343,SKU_00330,55.07,PayPal,Canada,14,0
TXN_000101,USER_0061,SKU_00852,53.86,Bank Transfer,USA,15,0
TXN_000102,USER_0364,SKU_00194,27.67,Credit Card,Australia,7,0
TXN_000103,USER_0220,SKU_00155,18.76,Cash,USA,18,0
TXN_000104,USER_0061,SKU_00160,37.99,Cash,Germany,4,0
TXN_000105,USER_0307,SKU_00696,179.63,Credit Card,Germany,13,0
TXN_000106,USER_0166,SKU_00266,13.51,Credit Card,Germany,6,0
TXN_000107,USER_0012,SKU_00168,208.65,Credit Card,Australia,3,0
TXN_000108,USER_0216,SKU_00145,63.02,Bank Transfer,France,20,0
TXN_000109,USER_0077,SKU_00186,119.28,PayPal,Australia,0,0
TXN_000110,USER_0232,SKU_00886,125.61,Bank Transfer,France,3,0
TXN_000111,USER_0112,SKU_00865,138.15,Credit Card,Australia,13,0
TXN_000112,USER_0066,SKU_00774,55.84,Bank Transfer,UK,22,0
TXN_000113,USER_0182,SKU_00423,57.53,Cash,France,15,0
TXN_000114,USER_0423,SKU_00786,133.5,Bank Transfer,Canada,6,0
TXN_000115,USER_0204,SKU_00457,19.27,Credit Card,Canada,9,0
TXN_000116,USER_0423,SKU_00840,16.54,Cash,Germany,9,0
TXN_000117,USER_0371,SKU_00345,34.31,PayPal,Australia,3,0
TXN_000118,USER_0206,SKU_00735,72.83,Bank Transfer,USA,11,0
TXN_000119,USER_0286,SKU_00554,372.74,Bank Transfer,Germany,5,0
TXN_000120,USER_0105,SKU_00516,57.28,Credit Card,USA,12,0
TXN_000121,USER_0242,SKU_00788,403.49,PayPal,Australia,20,0
TXN_000122,USER_0235,SKU_00796,91.42,Cash,Germany,0,0
TXN_000123,USER_0176,SKU_00936,34.69,Credit Card,Germany,7,0
TXN_000124,USER_0211,SKU_00705,171.93,Credit Card,Canada,22,0
TXN_000125,USER_0031,SKU_00104,42.83,Bank Transfer,USA,15,0
TXN_000126,USER_0235,SKU_00247,70.19,PayPal,UK,4,0
TXN_000127,USER_0242,SKU_00812,14.35,Credit Card,UK,6,0
TXN_000128,USER_0491,SKU_00023,12.08,Bank Transfer,Germany,2,0
TXN_000129,USER_0153,SKU_00953,94.98,Cash,Australia,23,0
TXN_000130,USER_0196,SKU_00815,164.63,Credit Card,Germany,20,0
TXN_000131,USER_0498,SKU_00525,382.09,Cash,Canada,1,0
TXN_000132,USER_0435,SKU_00144,24.3,Cash,USA,1,0
TXN_000133,USER_0269,SKU_00730,235.98,Bank Transfer,Germany,19,0
TXN_000134,USER_0484,SKU_00695,203.25,PayPal,Australia,22,0
TXN_000135,USER_0447,SKU_00863,66.82,Cash,UK,9,1
TXN_000136,USER_0384,SKU_00754,218.78,Credit Card,USA,19,0
TXN_000137,USER_0170,SKU_00193,140.36,PayPal,Germany,8,0
TXN_000138,USER_0438,SKU_00465,342.18,PayPal,USA,17,1
TXN_000139,USER_0357,SKU_00784,476.93,Bank Transfer,Canada,5,0
TXN_000140,USER_0323,SKU_00375,164.13,Credit Card,UK,19,0
TXN_000141,USER_0336,SKU_00677,6.44,Credit Card,Australia,5,0
TXN_000142,USER_0474,SKU_00692,75.38,Bank Transfer,USA,9,0
TXN_000143,USER_0232,SKU_00629,11.4,Bank Transfer,UK,8,0
TXN_000144,USER_0184,SKU_00266,63.53,PayPal,Germany,8,0
TXN_000145,USER_0359,SKU_00378,59.96,Cash,Australia,2,0
TXN_000146,USER_0275,SKU_00550,30.46,Cash,Australia,11,0
TXN_000147,USER_0430,SKU_00556,19.54,Cash,France,10,0
TXN_000148,USER_0399,SKU_00863,32.13,Cash,USA,13,0
TXN_000149,USER_0032,SKU_00074,38.97,Credit Card,UK,18,0
TXN_000150,USER_0177,SKU_00438,47.86,Credit Card,USA,9,0
TXN_000151,USER_0405,SKU_00881,60.67,Bank Transfer,Germany,18,0
TXN_000152,USER_0065,SKU_00226,98.03,Bank Transfer,Germany,4,0
TXN_000153,USER_0198,SKU_00819,39.94,Cash,Australia,21,0
TXN_000154,USER_0027,SKU_00308,196.3,Bank Transfer,Australia,8,0
TXN_000155,USER_0151,SKU_00966,52.55,Credit Card,UK,0,0
TXN_000156,USER_0303,SKU_00348,137.62,Cash,Canada,14,0
TXN_000157,USER_0479,SKU_00476,40.27,Cash,USA,23,0
TXN_000158,USER_0268,SKU_00315,848.7,Credit Card,USA,3,0
TXN_000159,USER_0085,SKU_00525,87.12,PayPal,Germany,6,0
TXN_000160,USER_0066,SKU_00425,280.14,Cash,USA,5,0
TXN_000161,USER_0133,SKU_00524,27.28,Bank Transfer,UK,14,0
TXN_000162,USER_0393,SKU_00562,34.91,PayPal,France,5,0
TXN_000163,USER_0404,SKU_00825,42.43,Credit Card,Australia,6,0
TXN_000164,USER_0366,SKU_00946,647.42,PayPal,Germany,19,0
TXN_000165,USER_0082,SKU_00249,44.14,PayPal,Australia,21,0
TXN_000166,USER_0381,SKU_00631,23.96,Cash,Australia,2,0
TXN_000167,USER_0319,SKU_00569,200.52,PayPal,Australia,20,0
TXN_000168,USER_0470,SKU_00182,115.82,Bank Transfer,France,12,1
TXN_000169,USER_0328,SKU_00962,43.9,Cash,USA,1,0
TXN_000170,USER_0098,SKU_00776,29.66,Credit Card,Canada,2,0
TXN_000171,USER_0073,SKU_00106,89.02,Bank Transfer,Australia,12,0
TXN_000172,USER_0327,SKU_00191,158.01,Cash,UK,8,0
TXN_000173,USER_0030,SKU_00137,120.07,PayPal,Australia,21,0
TXN_000174,USER_0125,SKU_00700,33.81,Bank Transfer,Australia,18,0
TXN_000175,USER_0210,SKU_00120,20.33,Cash,USA,17,0
TXN_000176,USER_0475,SKU_00754,0.98,Cash,UK,4,0
TXN_000177,USER_0272,SKU_00831,21.21,Credit Card,USA,9,0
TXN_000178,USER_0213,SKU_00072,37.63,Cash,Australia,13,0
TXN_000179,USER_0133,SKU_00755,51.47,Credit Card,USA,20,0
TXN_000180,USER_0157,SKU_00131,41.65,PayPal,USA,16,0
TXN_000181,USER_0047,SKU_00457,898.64,Cash,Germany,2,0
TXN_000182,USER_0357,SKU_00781,89.24,Cash,France,6,0
TXN_000183,USER_0363,SKU_00905,15.84,PayPal,Canada,8,0
TXN_000184,USER_0382,SKU_00479,105.17,Cash,France,4,0
TXN_000185,USER_0022,SKU_00985,80.76,Cash,France,3,0
TXN_000186,USER_0462,SKU_00052,19.11,Bank Transfer,UK,2,0
TXN_000187,USER_0441,SKU_00574,72.88,Credit Card,Germany,12,0
TXN_000188,USER_0083,SKU_00119,92.77,Cash,Germany,8,0
TXN_000189,USER_0419,SKU_00877,152.09,Cash,USA,22,0
TXN_000190,USER_0472,SKU_00264,9.25,Credit Card,France,6,0
TXN_000191,USER_0234,SKU_00239,104.38,Bank Transfer,Canada,7,0
TXN_000192,USER_0060,SKU_00351,223.61,Credit Card,UK,9,0
TXN_000193,USER_0454,SKU_00893,360.57,Cash,Germany,0,0
TXN_000194,USER_0188,SKU_00255,16.02,PayPal,USA,19,0
TXN_000195,USER_0058,SKU_00685,47.18,PayPal,Canada,20,0
TXN_000196,USER_0259,SKU_00309,51.98,Bank Transfer,France,20,0
TXN_000197,USER_0162,SKU_00749,107.29,Bank Transfer,Canada,0,0
TXN_000198,USER_0301,SKU_00831,46.31,Cash,Germany,18,0
TXN_000199,USER_0306,SKU_00607,26.7,Bank Transfer,UK,1,0
TXN_000200,USER_0002,SKU_00849,67.84,Cash,France,11,0
TXN_000201,USER_0271,SKU_00495,38.96,PayPal,UK,22,0
TXN_000202,USER_0421,SKU_00057,95.79,Bank Transfer,Australia,12,0
TXN_000203,USER_0143,SKU_00950,24.3,Cash,Canada,13,0
TXN_000204,USER_0188,SKU_00403,19.64,Credit Card,Canada,4,0
TXN_000205,USER_0352,SKU_00067,203.45,Bank Transfer,USA,2,0
TXN_000206,USER_0341,SKU_00046,529.81,Cash,France,23,0
TXN_000207,USER_0448,SKU_00606,337.74,Cash,Canada,16,0
TXN_000208,USER_0465,SKU_00650,50.81,Credit Card,Germany,0,0
TXN_000209,USER_0482,SKU_00369,156.82,PayPal,Australia,13,0
TXN_000210,USER_0224,SKU_00605,27.49,Credit Card,Germany,5,0
TXN_000211,USER_0498,SKU_00232,90.76,Cash,UK,16,0
TXN_000212,USER_0367,SKU_00402,30.45,Credit Card,Australia,3,0
TXN_000213,USER_0180,SKU_00908,191.81,Credit Card,Australia,5,0
TXN_000214,USER_0023,SKU_00561,167.92,Cash,Germany,0,0
TXN_000215,USER_0355,SKU_00023,435.26,PayPal,Canada,8,0
TXN_000216,USER_0037,SKU_00574,43.41,Credit Card,Germany,3,0
TXN_000217,USER_0107,SKU_00267,264.82,Credit Card,France,8,0
TXN_000218,USER_0297,SKU_00841,90.6,Bank Transfer,UK,8,0
TXN_000219,USER_0229,SKU_00118,58.87,Bank Transfer,Australia,21,0
TXN_000220,USER_0313,SKU_00952,76.48,Cash,France,12,0
TXN_000221,USER_0097,SKU_00600,596.54,Cash,Canada,22,1
TXN_000222,USER_0281,SKU_00601,47.85,Cash,Canada,16,0
TXN_000223,USER_0110,SKU_00055,50.35,Bank Transfer,Germany,20,0
TXN_000224,USER_0037,SKU_00153,6.92,Cash,USA,2,0
TXN_000225,USER_0040,SKU_00239,47.13,Credit Card,Australia,5,0
TXN_000226,USER_0085,SKU_00265,71.12,Credit Card,Australia,19,0
TXN_000227,USER_0302,SKU_00268,25.48,PayPal,USA,14,0
TXN_000228,USER_0188,SKU_00907,19.93,Cash,Canada,13,0
TXN_000229,USER_0240,SKU_00113,8.57,Credit Card,Canada,12,0
TXN_000230,USER_0358,SKU_00166,30.43,Credit Card,Australia,8,0
TXN_000231,USER_0488,SKU_00668,226.15,PayPal,UK,22,0
TXN_000232,USER_0354,SKU_00008,12.41,Credit Card,Australia,14,0
TXN_000233,USER_0019,SKU_00714,120.18,PayPal,Canada,13,0
TXN_000234,USER_0347,SKU_00217,131.54,PayPal,Canada,3,0
TXN_000235,USER_0393,SKU_00431,634.52,Bank Transfer,UK,10,0
TXN_000236,USER_0325,SKU_00292,154.22,Credit Card,France,21,0
TXN_000237,USER_0261,SKU_00893,141.82,Bank Transfer,France,1,0
TXN_000238,USER_0473,SKU_00050,78.86,Credit Card,UK,15,0
TXN_000239,USER_0410,SKU_00107,54.64,Bank Transfer,UK,18,0
TXN_000240,USER_0403,SKU_00009,128.02,PayPal,France,15,0
TXN_000241,USER_0158,SKU_00745,190.32,PayPal,France,6,0
TXN_000242,USER_0484,SKU_00700,64.75,PayPal,France,10,0
TXN_000243,USER_0304,SKU_00456,198.72,PayPal,France,11,0
TXN_000244,USER_0112,SKU_00323,975.75,Credit Card,Australia,3,0
TXN_000245,USER_0144,SKU_00309,58.61,Cash,Australia,15,0
TXN_000246,USER_0256,SKU_00850,60.28,Credit Card,Germany,15,0
TXN_000247,USER_0455,SKU_00622,49.79,Bank Transfer,UK,6,0
TXN_000248,USER_0018,SKU_00995,62.41,Credit Card,USA,12,0
TXN_000249,USER_0184,SKU_00145,185.51,Credit Card,Germany,4,0
TXN_000250,USER_0405,SKU_00740,59.56,Bank Transfer,USA,0,0
TXN_000251,USER_0287,SKU_00821,65.97,PayPal,USA,4,0
TXN_000252,USER_0385,SKU_00412,42.54,Bank Transfer,Canada,21,0
TXN_000253,USER_0131,SKU_00114,89.04,Bank Transfer,UK,13,0
TXN_000254,USER_0479,SKU_00575,33.01,Cash,Australia,10,0
TXN_000255,USER_0281,SKU_00399,16.02,Cash,Germany,1,0
TXN_000256,USER_0245,SKU_00275,85.43,PayPal,UK,23,0
TXN_000257,USER_0008,SKU_00124,395.2,Bank Transfer,France,17,0
TXN_000258,USER_0193,SKU_00086,40.86,Bank Transfer,UK,14,0
TXN_000259,USER_0318,SKU_00582,19.27,Bank Transfer,USA,13,0
TXN_000260,USER_0391,SKU_00047,741.58,Credit Card,Australia,12,1
TXN_000261,USER_0007,SKU_00711,57.14,Cash,France,1,0
TXN_000262,USER_0136,SKU_00876,140.41,Cash,UK,18,0
TXN_000263,USER_0019,SKU_00944,26.34,PayPal,UK,7,0
TXN_000264,USER_0401,SKU_00201,55.13,Cash,Australia,21,0
TXN_000265,USER_0139,SKU_00276,443.06,Cash,USA,16,1
TXN_000266,USER_0367,SKU_00549,62.23,PayPal,France,14,0
TXN_000267,USER_0489,SKU_00715,63.0,Bank Transfer,USA,19,0
TXN_000268,USER_0177,SKU_00130,12.32,Credit Card,Australia,20,0
TXN_000269,USER_0011,SKU_00448,119.95,PayPal,UK,13,0
TXN_000270,USER_0486,SKU_00982,24.88,Cash,Germany,2,0
TXN_000271,USER_0041,SKU_00804,167.29,PayPal,Germany,16,0
TXN_000272,USER_0446,SKU_00389,66.85,Cash,Canada,2,0
TXN_000273,USER_0114,SKU_00576,73.06,Bank Transfer,Germany,12,0
TXN_000274,USER_0180,SKU_00263,118.22,Bank Transfer,Australia,17,0
TXN_000275,USER_0194,SKU_00966,79.46,Bank Transfer,Australia,0,0
TXN_000276,USER_0196,SKU_00632,304.43,Cash,Australia,6,0
TXN_000277,USER_0498,SKU_00278,259.83,PayPal,France,22,0
TXN_000278,USER_0348,SKU_00714,16.16,Cash,Canada,4,0
TXN_000279,USER_0225,SKU_00046,46.03,Bank Transfer,France,1,0
TXN_000280,USER_0331,SKU_00168,126.03,Bank Transfer,Germany,16,0
TXN_000281,USER_0323,SKU_00445,21.27,Bank Transfer,Germany,20,0
TXN_000282,USER_0424,SKU_00622,11.38,Cash,UK,9,0
TXN_000283,USER_0261,SKU_00046,25.53,Credit Card,France,3,0
TXN_000284,USER_0116,SKU_00724,97.32,Bank Transfer,USA,8,1
TXN_000285,USER_0469,SKU_00540,0.94,PayPal,UK,20,0
TXN_000286,USER_0150,SKU_00087,17.92,Bank Transfer,France,10,0
TXN_000287,USER_0118,SKU_00803,9.22,Cash,Australia,11,0
TXN_000288,USER_0165,SKU_00385,171.86,PayPal,Canada,11,0
TXN_000289,USER_0252,SKU_00669,138.58,Cash,France,17,0
TXN_000290,USER_0267,SKU_00265,72.14,Credit Card,Canada,3,0
TXN_000291,USER_0044,SKU_00777,60.34,Credit Card,Canada,8,0
TXN_000292,USER_0470,SKU_00022,94.14,Cash,Germany,7,0
TXN_000293,USER_0489,SKU_00768,20.12,Bank Transfer,USA,18,0
TXN_000294,USER_0181,SKU_00703,191.12,PayPal,France,23,0
TXN_000295,USER_0077,SKU_00450,59.92,Bank Transfer,USA,12,0
TXN_000296,USER_0374,SKU_00976,136.67,Cash,Canada,1,0
TXN_000297,USER_0116,SKU_00232,262.32,Cash,Germany,18,1
TXN_000298,USER_0445,SKU_00186,93.14,Bank Transfer,USA,13,0
TXN_000299,USER_0067,SKU_00326,74.66,PayPal,UK,4,0
TXN_000300,USER_0013,SKU_00183,69.3,PayPal,Canada,9,0
TXN_000301,USER_0092,SKU_00397,51.27,PayPal,UK,23,0
TXN_000302,USER_0246,SKU_00481,88.5,PayPal,Australia,16,0
TXN_000303,USER_0267,SKU_00403,67.1,PayPal,USA,19,0
TXN_000304,USER_0139,SKU_00463,33.55,Credit Card,USA,15,0
TXN_000305,USER_0341,SKU_00417,100.46,Credit Card,USA,16,0
TXN_000306,USER_0244,SKU_00202,72.28,Cash,Australia,0,0
TXN_000307,USER_0341,SKU_00065,183.06,Credit Card,France,20,0
TXN_000308,USER_0391,SKU_00956,8.93,PayPal,Canada,21,0
TXN_000309,USER_0273,SKU_00908,56.61,PayPal,Canada,14,0
TXN_000310,USER_0304,SKU_00555,26.45,PayPal,Canada,16,0
TXN_000311,USER_0398,SKU_00733,32.54,Cash,France,10,0
TXN_000312,USER_0191,SKU_00017,95.56,Cash,USA,21,0
TXN_000313,USER_0448,SKU_00836,12.99,Bank Transfer,USA,4,0
TXN_000314,USER_0097,SKU_00797,62.37,Credit Card,Australia,3,0
TXN_000315,USER_0331,SKU_00183,56.29,Credit Card,UK,20,0
TXN_000316,USER_0205,SKU_00391,19.11,Bank Transfer,France,23,0
TXN_000317,USER_0449,SKU_00044,63.95,Bank Transfer,Germany,8,0
TXN_000318,USER_0418,SKU_00973,25.49,Credit Card,France,15,0
TXN_000319,USER_0137,SKU_00901,491.51,PayPal,Australia,11,0
TXN_000320,USER_0077,SKU_00700,181.63,Credit Card,UK,17,0
TXN_000321,USER_0384,SKU_00902,58.4,PayPal,UK,21,0
TXN_000322,USER_0037,SKU_00482,35.45,Cash,UK,2,0
TXN_000323,USER_0286,SKU_00263,90.38,Credit Card,USA,14,0
TXN_000324,USER_0425,SKU_00174,117.62,Credit Card,Germany,17,0
TXN_000325,USER_0429,SKU_00441,70.42,Cash,UK,11,0
TXN_000326,USER_0485,SKU_00566,19.78,Cash,Canada,12,0
TXN_000327,USER_0303,SKU_00220,44.27,Cash,USA,0,0
TXN_000328,USER_0135,SKU_00558,59.03,Cash,Germany,3,0
TXN_000329,USER_0142,SKU_00394,72.99,Cash,Canada,7,0
TXN_000330,USER_0254,SKU_00772,74.69,Bank Transfer,Germany,18,0
TXN_000331,USER_0048,SKU_00195,113.39,Bank Transfer,Australia,20,0
TXN_000332,USER_0255,SKU_00409,208.87,Cash,Germany,20,0
TXN_000333,USER_0134,SKU_00471,150.29,Cash,Canada,4,0
TXN_000334,USER_0290,SKU_00347,98.53,Cash,France,10,0
TXN_000335,USER_0208,SKU_00462,15.52,Cash,Germany,23,0
TXN_000336,USER_0499,SKU_00061,178.81,PayPal,France,23,0
TXN_000337,USER_0101,SKU_00166,123.82,PayPal,Germany,16,0
TXN_000338,USER_0484,SKU_00672,42.28,Cash,Australia,16,0
TXN_000339,USER_0046,SKU_00151,56.25,Cash,Canada,1,0
TXN_000340,USER_0443,SKU_00111,58.3,Credit Card,Germany,23,0
TXN_000341,USER_0070,SKU_00488,35.24,Cash,UK,0,0
TXN_000342,USER_0136,SKU_00549,19.02,Cash,Australia,3,1
TXN_000343,USER_0280,SKU_00003,17.88,Bank Transfer,UK,8,0
TXN_000344,USER_0067,SKU_00483,22.05,PayPal,Australia,1,0
TXN_000345,USER_0004,SKU_00013,7.63,Cash,Australia,2,0
TXN_000346,USER_0224,SKU_00162,17.93,PayPal,Germany,5,0
TXN_000347,USER_0001,SKU_00344,170.92,PayPal,Canada,12,0
TXN_000348,USER_0290,SKU_00449,88.76,Credit Card,Canada,14,0
TXN_000349,USER_0109,SKU_00332,20.68,PayPal,USA,10,0
TXN_000350,USER_0265,SKU_00264,27.43,PayPal,Canada,9,0
TXN_000351,USER_0063,SKU_00083,186.64,Cash,France,2,0
TXN_000352,USER_0460,SKU_00777,182.08,Bank Transfer,Germany,19,0
TXN_000353,USER_0266,SKU_00924,58.55,Cash,UK,8,0
TXN_000354,USER_0138,SKU_00334,176.76,Cash,Canada,9,0
TXN_000355,USER_0434,SKU_00380,25.38,Bank Transfer,UK,20,0
TXN_000356,USER_0044,SKU_00219,137.08,Bank Transfer,USA,22,1
TXN_000357,USER_0374,SKU_00658,12.5,Credit Card,Germany,23,0
TXN_000358,USER_0432,SKU_00810,37.93,Bank Transfer,Canada,22,0
TXN_000359,USER_0471,SKU_00809,56.15,Cash,UK,11,0
TXN_000360,USER_0262,SKU_00454,10.12,Bank Transfer,Australia,7,0
TXN_000361,USER_0216,SKU_00673,98.8,Bank Transfer,Canada,20,0
TXN_000362,USER_0121,SKU_00741,116.77,Bank Transfer,USA,20,0
TXN_000363,USER_0152,SKU_00746,150.07,PayPal,Australia,20,0
TXN_000364,USER_0213,SKU_00089,563.54,Credit Card,UK,16,0
TXN_000365,USER_0234,SKU_00333,82.82,PayPal,UK,21,0
TXN_000366,USER_0351,SKU_00310,51.21,PayPal,Germany,4,0
TXN_000367,USER_0111,SKU_00727,11.0,Credit Card,Germany,23,0
TXN_000368,USER_0442,SKU_00420,80.8,PayPal,UK,7,0
TXN_000369,USER_0361,SKU_00609,95.53,Bank Transfer,Australia,17,0
TXN_000370,USER_0320,SKU_00725,14.07,Credit Card,Germany,10,0
TXN_000371,USER_0222,SKU_00354,42.94,PayPal,UK,21,0
TXN_000372,USER_0440,SKU_00824,55.21,Cash,Australia,9,0
TXN_000373,USER_0226,SKU_00100,92.71,PayPal,France,14,0
TXN_000374,USER_0210,SKU_00145,128.54,Cash,Canada,5,0
TXN_000375,USER_0396,SKU_00010,31.93,Bank Transfer,France,18,0
