id,category_a,category_b,numeric_1,numeric_2,binary_flag,text_data
59,Type1,Alpha,61.11104963665113,3.786848640414961,,Medium length text
60,Type1,Gamma,,28.339456007669096,1,Short
61,Type3,,,18.93909585023223,1,
62,Type2,Alpha,54.362487393620064,18.55775729452024,1,
63,Type2,Gamma,44.10577922311638,7.180235332824379,0,Short
64,Type3,,25.623633335646883,15.579770264642148,0,Short
65,,,40.29117261791801,,,Medium length text
66,Type2,Alpha,27.81048910320513,8.514935509643532,1,Very long descriptive text here
67,Type3,Alpha,65.22979477878722,41.2558280591461,0,Short
68,,Alpha,74.4085981917773,,0,Short
69,,Gamma,68.32538397859742,,1,Medium length text
70,Type2,Gamma,99.72040492555345,6.742830468602985,1,
71,Type3,Gamma,40.79186157006053,0.4061960169273958,,Medium length text
72,Type1,Beta,61.931446897670995,14.397769885201722,0,Medium length text
73,Type2,Alpha,26.372900708343092,1.8460714002103096,,
74,,Gamma,46.054987192954,,1,Very long descriptive text here
75,Type2,Beta,20.45301582290246,0.8955737242935831,1,Very long descriptive text here
76,,Gamma,61.363886346095796,,1,Medium length text
77,Type2,Beta,42.89016674171597,3.449212714564491,0,
78,,Beta,8.908359502761655,,,Very long descriptive text here
79,Type2,Beta,36.29963114129872,1.382699206696067,0,
80,Type1,Alpha,85.86228655214993,29.188118506325452,0,Very long descriptive text here
81,Type2,Beta,58.208597745018054,12.444606270534477,,Very long descriptive text here
82,Type1,Alpha,,13.534821722944606,1,Short
83,Type1,Beta,52.51090558599527,6.919570118522738,,Medium length text
84,,Alpha,46.36882156809535,,1,Very long descriptive text here
85,Type1,Alpha,50.31158027619103,1.1655768507055846,0,Short
86,Type3,Gamma,54.9086544844757,8.206194708674758,,Medium length text
87,Type1,Beta,28.066951087979678,2.835791610609136,0,Short
88,Type1,Gamma,65.26124031477109,37.78599928687332,,
89,,Gamma,72.43654983974963,,0,Short
90,Type2,Gamma,46.06821206111338,5.327169331686647,,
91,Type3,,39.539191407668284,1.640981271761068,0,Very long descriptive text here
92,Type3,Alpha,,15.386611916005453,1,Short
93,Type2,Gamma,85.18433207124858,1.3016992535576875,,Medium length text
94,,,40.95458321612887,,1,Short
95,Type3,,,2.3764889415314743,1,Medium length text
96,Type2,Alpha,46.208526090346886,8.13938673202758,,Medium length text
97,,Beta,45.1273988856414,,1,Short
98,Type1,Alpha,34.70500599588554,3.7733676351946634,,
99,Type2,Gamma,30.59401007811968,0.8847042008493201,1,Short
100,,Gamma,64.798415204931,,0,Very long descriptive text here
101,Type3,Beta,30.141550399398614,13.78763752106787,0,Medium length text
102,,Gamma,,,0,Very long descriptive text here
103,Type3,Gamma,,2.483646306940084,0,Medium length text
104,,Beta,65.05277068958473,,1,Very long descriptive text here
105,,,37.80092178818889,,0,Very long descriptive text here
106,Type1,,,46.52862819130626,0,Very long descriptive text here
107,Type1,Alpha,47.17618835819326,16.48488568236809,0,Short
108,Type2,Gamma,101.83389442619125,2.084817738657128,,Very long descriptive text here
109,Type3,Alpha,17.7164733007032,2.382337386368641,1,Short
110,Type1,Gamma,,4.158567772431701,0,Short
111,Type1,,47.47268003887723,3.829199674911656,,Medium length text
112,Type2,,,31.35632454277839,0,Medium length text
113,,Beta,37.91421136781702,,,Medium length text
114,Type3,Beta,,12.873862694301932,1,Very long descriptive text here
115,Type2,Alpha,39.432064559592476,2.057497347103858,0,Medium length text
116,Type1,Gamma,42.68626030255089,24.026878920585396,1,Medium length text
117,Type2,Alpha,53.65603425461482,17.595074784660042,1,Short
118,Type1,Gamma,72.42276690020702,1.7869833817864524,1,Very long descriptive text here
119,Type1,Alpha,53.8146145321423,20.49264149918595,,Medium length text
120,,Beta,54.1628352656528,,0,Medium length text
121,,Alpha,57.68735433033612,,0,Very long descriptive text here
122,Type1,,14.901396137675029,10.695069091514151,0,Medium length text
123,Type1,Gamma,16.74950995727815,10.607520949797317,0,Medium length text
124,Type2,Beta,20.06022022271402,0.9974521055234089,0,Medium length text
125,Type2,Alpha,42.53452284009291,3.839753884831765,,Very long descriptive text here
126,Type1,Gamma,12.565697605519198,49.35684919598777,0,Very long descriptive text here
127,Type2,Alpha,36.204249105417894,11.345296649186489,1,Short
128,Type1,Gamma,,13.09611753569941,1,Short
129,Type3,,59.754308523973634,2.3942193520346216,,Short
130,Type3,Gamma,58.75311257816501,0.8205864857184766,,Very long descriptive text here
131,Type3,Gamma,43.98711920528069,3.2421009060514727,1,
132,Type2,Gamma,12.000781636661145,2.862143303699577,,Medium length text
133,,,45.257121811276484,,1,Short
134,,,56.57252230752205,,,Very long descriptive text here
135,Type1,Gamma,66.21453334478029,8.550914297014172,1,
136,Type1,Beta,,3.976509322228914,0,
137,Type2,Beta,72.36996360843366,17.16717017672488,1,Very long descriptive text here
138,Type1,Alpha,53.29553058135859,2.0327648718160796,1,
139,Type2,Gamma,44.29517319385249,6.247917111251445,0,Short
140,Type2,Gamma,35.14131807417439,0.13751962697424575,0,Short
141,Type2,Alpha,77.11323791779856,6.571669475866831,1,Short
142,Type2,Alpha,,0.5745775132968266,,Very long descriptive text here
143,Type2,Beta,62.61088417366904,38.042235007924965,0,Short
144,,,38.19560524141285,,1,Medium length text
145,Type1,Gamma,25.181818689803848,6.735631587963225,1,Medium length text
146,Type3,Gamma,41.99324563454546,0.905675379277935,,Medium length text
147,Type1,Beta,43.94143468388747,8.975804676324833,,
148,Type1,Gamma,53.83544867288276,14.219785381154637,1,Short
149,Type2,Beta,35.25132222032049,2.1160692113691404,1,Medium length text
150,Type1,Gamma,50.49939726763929,8.398120774091849,0,Very long descriptive text here
151,Type1,Alpha,73.55412708710037,16.83143110850575,1,Short
152,Type1,Beta,16.540767809257297,14.62086485137993,1,Very long descriptive text here
153,Type2,Beta,7.661948160873031,16.2451103262415,,
154,Type3,Beta,74.91827697236914,21.14641244856335,1,
155,Type1,,20.727470839354257,27.755066096873872,0,
156,Type3,Alpha,42.39856066215093,5.200701483516326,1,Medium length text
157,Type1,Beta,62.16959362612975,8.41111607322874,0,Medium length text
158,Type3,Gamma,48.81547662658454,15.637932905167416,0,Short
159,Type2,,,11.944840121296505,0,Short
160,Type3,Beta,51.447932956365975,54.081831857236025,0,Short
161,,Gamma,100.37428198588927,,,Medium length text
162,,,,,0,
163,Type1,Beta,36.125493822632315,3.299327624468354,0,Medium length text
164,,Beta,71.0177648189374,,,Medium length text
165,Type1,Beta,60.11015515183591,2.517099411272258,0,Medium length text
166,,,49.609703944965965,,0,Medium length text
167,Type1,Alpha,31.842623830451814,0.8856837751372116,0,
168,Type2,Beta,59.02736062890933,13.532806947453047,0,Short
169,Type1,Gamma,43.87909069871165,11.822956018640308,0,Very long descriptive text here
170,Type1,Gamma,42.408798501416825,2.887548243122218,0,Medium length text
171,Type3,Beta,34.65857297362257,2.9146760610511615,1,Short
172,,Gamma,,,0,Medium length text
173,Type3,Alpha,,14.362037944688865,0,
174,Type3,Beta,,20.913976364792006,,Short
175,Type3,Gamma,65.55875535160614,19.114864491380402,1,Short
176,Type1,,47.11339064393812,33.49069769084654,,Short
177,Type1,Beta,47.651629524280814,8.708033858575314,1,Very long descriptive text here
178,Type1,,70.65786968183343,23.931178774898374,0,Very long descriptive text here
179,Type2,Gamma,76.27401223583871,16.52936784828437,1,Medium length text
180,Type1,Alpha,7.443085561329568,22.506344456934,0,Medium length text
181,Type1,Gamma,47.4245149043151,0.11694718711611284,0,
182,Type1,Alpha,21.794709436520066,33.78545636542191,1,Very long descriptive text here
183,Type1,,42.26413324285348,6.415612384062386,1,
184,,,49.86527687771795,,1,
185,Type1,Beta,42.90290853851569,1.360535641556475,,Very long descriptive text here
186,Type2,Beta,29.49449138660598,5.040835623156303,0,Medium length text
187,Type2,Beta,28.479867245704096,3.1671365757885632,1,
188,Type2,Beta,64.558827780645,3.448293388257739,1,
189,Type1,Beta,80.69619612207715,1.315397999634392,,Short
190,Type2,Beta,,16.38680502272543,,Short
191,Type1,Gamma,43.44762667868969,0.09285289768909408,,
192,Type2,Alpha,64.63928274788634,3.747013869059341,0,Short
193,Type1,,49.347924791983026,1.9165765470510037,1,
194,Type2,,27.72626756188921,8.892568149802834,0,Medium length text
195,Type3,Beta,,2.9336807733506887,0,Short
196,Type2,,56.043004748637166,2.9975256803113965,,Short
197,Type2,Alpha,43.85615781239289,6.700913096183961,0,Short
198,Type2,Alpha,49.0404013216288,10.575347601013263,,Short
199,,Gamma,49.616790048367164,,0,Medium length text
200,Type1,Beta,39.514367806834095,1.9299202727361187,,Very long descriptive text here
