date,product_category,sales_amount,quantity,discount_percent,customer_age,customer_gender,region,is_weekend,customer_satisfaction
2023-04-09,Clothing,79.096,2,,13.0,Other,North,True,3
2023-04-10,Electronics,199.64999999999998,3,1.4,26.0,Male,South,False,4
2023-04-11,Books,103.43,8,9.3,49.0,Female,South,False,3
2023-04-12,Electronics,156.76500000000001,15,23.6,38.0,Male,West,False,4
2023-04-13,Books,89.09,7,16.0,46.0,Other,North,False,2
2023-04-14,Clothing,98.29,6,16.8,42.0,Male,East,False,4
2023-04-15,Electronics,131.076,9,15.8,53.0,Other,North,True,4
2023-04-16,Sports,38.952,1,5.0,39.0,Other,South,True,4
2023-04-17,Home,59.55,8,10.5,43.0,Female,West,False,5
2023-04-18,Books,122.3,3,18.8,26.0,Female,North,False,5
2023-04-19,Home,105.13,4,2.5,42.0,Other,North,False,4
2023-04-20,Home,94.48,15,6.9,30.0,Female,South,False,4
2023-04-21,Electronics,150.825,6,6.9,30.0,Male,South,False,3
2023-04-22,Home,88.34400000000001,15,10.8,46.0,Female,North,True,4
2023-04-23,Sports,67.048,3,24.5,46.0,Female,South,True,3
2023-04-24,Home,76.65,14,1.7,55.0,Male,South,False,2
2023-04-25,Electronics,158.82,14,13.0,54.0,Female,South,False,5
2023-04-26,Sports,70.65,4,4.5,46.0,Other,South,False,4
2023-04-27,Clothing,112.25,12,24.3,14.0,Male,South,False,4
2023-04-28,Home,48.92,17,2.8,57.0,Other,West,False,3
2023-04-29,Electronics,157.044,7,10.1,46.0,Male,South,True,4
2023-04-30,Clothing,91.34400000000001,9,18.4,26.0,Other,East,True,1
2023-05-01,Clothing,107.68,3,17.6,44.0,Other,North,False,2
2023-05-02,Books,129.48,13,10.6,23.0,Female,West,False,1
2023-05-03,Sports,149.96,15,8.7,42.0,Other,West,False,4
2023-05-04,Home,130.43,18,9.9,19.0,Female,South,False,4
2023-05-05,Electronics,67.155,19,6.6,25.0,Male,North,False,2
2023-05-06,Books,49.288000000000004,1,5.1,44.0,Other,East,True,4
2023-05-07,Sports,65.00800000000001,6,12.1,48.0,Other,South,True,3
2023-05-08,Books,100.78,2,6.7,,Male,North,False,4
2023-05-09,Sports,115.53,14,7.2,32.0,Male,South,False,5
2023-05-10,Sports,78.23,6,16.4,10.0,Other,South,False,4
2023-05-11,Home,105.6,14,24.2,32.0,Male,South,False,5
2023-05-12,Sports,77.34,4,15.1,41.0,Female,South,False,5
2023-05-13,Books,65.32000000000001,8,1.9,31.0,Male,South,True,4
2023-05-14,Sports,46.24,3,1.9,35.0,Male,South,True,4
2023-05-15,Home,72.3,19,23.8,33.0,Other,South,False,5
2023-05-16,Home,59.45,14,7.4,31.0,Female,East,False,4
2023-05-17,Books,70.72,17,2.3,36.0,Male,West,False,3
2023-05-18,Clothing,131.61,8,15.0,32.0,Female,East,False,5
2023-05-19,Clothing,71.52,14,15.6,52.0,Female,South,False,4
2023-05-20,Sports,143.17600000000002,6,16.2,9.0,Female,South,True,3
2023-05-21,Electronics,137.76,16,6.7,28.0,Other,East,True,4
2023-05-22,Sports,105.55,19,0.4,25.0,Male,East,False,5
2023-05-23,Books,74.25,14,24.1,38.0,Other,West,False,4
2023-05-24,Books,121.01,19,6.3,36.0,Male,East,False,4
2023-05-25,Books,82.73,3,16.9,54.0,Male,West,False,5
2023-05-26,Books,103.66,10,17.7,58.0,Other,South,False,4
2023-05-27,Books,141.44000000000003,19,15.3,26.0,Female,North,True,4
2023-05-28,Home,77.69600000000001,9,7.8,35.0,Female,North,True,4
2023-05-29,Clothing,134.48,13,,37.0,Male,North,False,4
2023-05-30,Books,78.9,7,14.9,25.0,Other,North,False,4
2023-05-31,Electronics,148.425,14,21.7,43.0,Female,South,False,4
2023-06-01,Electronics,229.68,9,23.7,,Female,North,False,4
2023-06-02,Electronics,121.785,19,2.6,22.0,Male,East,False,5
2023-06-03,Electronics,185.24400000000003,15,3.9,32.0,Male,East,True,2
2023-06-04,Home,96.98400000000001,14,23.6,23.0,Other,North,True,3
2023-06-05,Electronics,124.695,6,18.4,47.0,Male,East,False,4
2023-06-06,Books,118.97,4,22.1,58.0,Female,West,False,5
2023-06-07,Sports,129.18,8,5.1,,Female,South,False,3
2023-06-08,Electronics,177.97500000000002,17,14.7,36.0,Female,North,False,3
2023-06-09,Home,52.89,9,17.5,37.0,Female,North,False,2
2023-06-10,Home,62.552,1,17.0,49.0,Other,South,True,4
2023-06-11,Electronics,111.084,14,,49.0,Other,East,True,3
2023-06-12,Sports,97.77,11,0.4,34.0,Male,South,False,4
2023-06-13,Electronics,177.93,3,14.6,38.0,Male,South,False,4
2023-06-14,Home,105.33,9,6.3,43.0,Male,East,False,5
2023-06-15,Clothing,59.94,14,11.3,21.0,Other,South,False,4
2023-06-16,Books,111.41,9,23.9,50.0,Female,East,False,2
2023-06-17,Home,94.656,4,10.0,56.0,Male,East,True,4
2023-06-18,Electronics,140.148,4,21.0,49.0,Female,South,True,5
2023-06-19,Books,132.42,8,4.7,20.0,Male,West,False,4
2023-06-20,Electronics,187.53,2,16.8,11.0,Male,East,False,5
2023-06-21,Electronics,170.67000000000002,9,24.4,44.0,Male,South,False,5
2023-06-22,Clothing,97.9,14,2.5,26.0,Male,East,False,1
2023-06-23,Books,50.17,9,0.2,38.0,Male,West,False,4
2023-06-24,Books,90.31200000000001,16,10.8,53.0,Female,West,True,3
2023-06-25,Clothing,84.98400000000001,17,2.3,27.0,Male,North,True,4
2023-06-26,Home,108.15,16,,30.0,Female,East,False,3
2023-06-27,Electronics,92.55000000000001,12,22.9,38.0,Other,East,False,3
2023-06-28,Sports,67.57,3,10.9,19.0,Male,South,False,5
2023-06-29,Electronics,197.385,11,6.5,26.0,Female,East,False,3
2023-06-30,Electronics,148.215,14,10.9,35.0,Other,North,False,5
2023-07-01,Home,96.36000000000001,18,18.1,,Other,West,True,1
2023-07-02,Electronics,121.01999999999998,5,0.2,42.0,Other,West,True,2
2023-07-03,Clothing,100.89,16,14.7,68.0,Female,North,False,5
2023-07-04,Clothing,128.15,5,15.3,36.0,Male,East,False,4
2023-07-05,Books,84.52,3,15.9,25.0,Male,East,False,4
2023-07-06,Sports,102.88,12,6.1,52.0,Female,North,False,3
2023-07-07,Electronics,129.195,1,17.9,16.0,Male,South,False,4
2023-07-08,Electronics,104.36399999999999,9,2.3,18.0,Female,West,True,4
2023-07-09,Home,72.57600000000001,9,5.0,,Male,North,True,4
2023-07-10,Clothing,106.66,4,21.9,32.0,Other,North,False,4
2023-07-11,Sports,85.64,3,18.5,28.0,Male,East,False,5
2023-07-12,Books,137.67,17,0.3,,Female,West,False,4
2023-07-13,Clothing,73.16,2,6.2,38.0,Female,East,False,5
2023-07-14,Books,94.39,1,5.4,48.0,Other,North,False,4
2023-07-15,Home,69.44800000000001,8,,36.0,Female,South,True,4
2023-07-16,Home,114.72800000000001,13,6.2,28.0,Male,West,True,2
2023-07-17,Electronics,158.85000000000002,15,1.6,47.0,Male,North,False,4
2023-07-18,Sports,130.96,8,11.5,25.0,Other,North,False,5
2023-07-19,Books,55.43,12,18.3,15.0,Female,South,False,3
2023-07-20,Clothing,108.01,12,15.2,49.0,Other,North,False,2
2023-07-21,Home,126.69,14,16.8,49.0,Male,North,False,3
2023-07-22,Electronics,122.964,15,2.0,25.0,Other,West,True,3
2023-07-23,Electronics,158.352,15,23.8,30.0,Female,West,True,5
2023-07-24,Books,84.48,9,21.0,24.0,Other,West,False,5
2023-07-25,Home,142.28,19,20.1,39.0,Female,East,False,4
2023-07-26,Sports,168.97,8,20.6,56.0,Female,South,False,2
2023-07-27,Home,89.11,19,23.3,43.0,Male,West,False,4
2023-07-28,Books,86.63,6,13.6,47.0,Male,East,False,4
2023-07-29,Books,114.88,19,5.0,45.0,Male,East,True,5
2023-07-30,Home,117.91199999999999,4,15.4,35.0,Female,South,True,4
2023-07-31,Books,84.31,7,18.6,48.0,Other,South,False,3
2023-08-01,Home,87.39,4,18.4,44.0,Female,North,False,4
2023-08-02,Clothing,91.55,12,13.0,52.0,Male,East,False,5
2023-08-03,Home,59.67,13,1.7,29.0,Male,West,False,4
2023-08-04,Home,72.44,3,9.3,14.0,Other,South,False,4
2023-08-05,Books,55.903999999999996,12,23.0,48.0,Male,East,True,3
2023-08-06,Books,61.576,2,14.6,39.0,Male,West,True,4
2023-08-07,Electronics,148.44,2,13.5,31.0,Male,East,False,5
2023-08-08,Electronics,160.54500000000002,9,6.7,32.0,Other,South,False,3
2023-08-09,Clothing,146.52,1,,66.0,Female,North,False,4
2023-08-10,Electronics,105.07499999999999,8,22.4,27.0,Male,East,False,3
2023-08-11,Home,129.53,6,16.7,25.0,Other,West,False,3
2023-08-12,Books,74.864,6,,36.0,Male,South,True,1
2023-08-13,Electronics,118.224,18,11.4,49.0,Other,North,True,3
2023-08-14,Electronics,180.35999999999999,17,15.8,62.0,Male,West,False,4
2023-08-15,Clothing,66.32,12,6.2,43.0,Other,West,False,1
2023-08-16,Clothing,111.47,6,17.6,20.0,Male,West,False,3
2023-08-17,Home,104.99,8,10.7,59.0,Female,East,False,5
2023-08-18,Books,114.77,19,,35.0,Male,South,False,4
2023-08-19,Clothing,86.94400000000002,10,16.2,25.0,Other,West,True,4
2023-08-20,Electronics,208.39200000000002,1,23.4,22.0,Male,East,True,4
2023-08-21,Books,80.87,13,1.6,45.0,Female,South,False,4
2023-08-22,Books,84.07,17,20.6,38.0,Male,South,False,3
2023-08-23,Electronics,121.965,3,7.3,39.0,Other,East,False,5
2023-08-24,Clothing,83.34,8,11.1,50.0,Other,East,False,2
2023-08-25,Electronics,121.32,14,0.5,25.0,Female,West,False,4
2023-08-26,Books,108.536,3,7.5,51.0,Other,South,True,3
2023-08-27,Sports,114.096,16,12.6,29.0,Male,North,True,4
2023-08-28,Sports,82.88,13,1.4,61.0,Male,East,False,4
2023-08-29,Home,75.03,17,12.3,42.0,Male,South,False,4
2023-08-30,Electronics,171.21,13,23.2,24.0,Other,South,False,3
2023-08-31,Electronics,125.14500000000001,6,2.6,11.0,Male,West,False,4
2023-09-01,Home,118.99,17,19.1,45.0,Male,North,False,5
2023-09-02,Home,84.87200000000001,14,10.2,31.0,Male,West,True,5
2023-09-03,Home,43.624,17,16.4,,Female,North,True,2
2023-09-04,Books,146.43,8,6.5,44.0,Other,North,False,4
2023-09-05,Electronics,230.82,11,4.0,47.0,Other,East,False,5
2023-09-06,Books,81.62,1,4.0,50.0,Other,South,False,4
2023-09-07,Home,88.37,7,1.8,21.0,Female,South,False,4
2023-09-08,Electronics,162.87,17,4.6,52.0,Other,South,False,5
2023-09-09,Books,88.024,10,16.6,28.0,Female,North,True,5
2023-09-10,Books,95.808,11,22.0,8.0,Female,South,True,4
2023-09-11,Home,160.31,9,20.4,21.0,Other,East,False,4
2023-09-12,Electronics,142.035,9,17.1,38.0,Male,North,False,3
2023-09-13,Home,76.05,5,2.8,23.0,Male,North,False,4
2023-09-14,Electronics,87.92999999999999,17,7.2,34.0,Other,North,False,3
2023-09-15,Sports,78.07,9,7.7,39.0,Other,North,False,3
2023-09-16,Clothing,79.20800000000001,17,6.2,33.0,Female,East,True,4
2023-09-17,Clothing,123.072,19,12.9,29.0,Other,South,True,3
2023-09-18,Clothing,84.47,7,13.4,20.0,Female,East,False,4
2023-09-19,Home,106.71,9,8.9,35.0,Other,South,False,4
2023-09-20,Sports,99.51,7,8.8,,Male,East,False,4
2023-09-21,Electronics,203.47500000000002,13,20.7,27.0,Male,West,False,4
2023-09-22,Books,175.81,11,19.7,24.0,Other,West,False,5
2023-09-23,Electronics,100.884,14,7.7,32.0,Female,West,True,1
2023-09-24,Books,68.256,19,22.8,32.0,Male,West,True,5
2023-09-25,Electronics,196.98,11,23.8,47.0,Female,North,False,5
2023-09-26,Sports,120.46,13,8.2,54.0,Other,North,False,4
2023-09-27,Books,155.4,14,8.9,22.0,Other,East,False,4
2023-09-28,Home,117.52,13,,59.0,Male,East,False,5
2023-09-29,Electronics,133.82999999999998,1,23.5,,Other,West,False,3
2023-09-30,Electronics,141.26399999999998,8,21.9,37.0,Male,South,True,4
2023-10-01,Books,106.608,12,2.6,,Female,West,True,4
2023-10-02,Home,124.61,19,9.8,64.0,Male,East,False,3
2023-10-03,Home,115.22,12,13.8,,Male,West,False,5
2023-10-04,Sports,132.0,8,12.6,13.0,Female,East,False,5
2023-10-05,Home,135.08,8,4.8,53.0,Male,West,False,5
2023-10-06,Home,141.46,13,21.5,25.0,Male,South,False,3
2023-10-07,Home,95.568,12,,31.0,Other,West,True,2
2023-10-08,Clothing,75.992,16,20.9,22.0,Female,South,True,4
2023-10-09,Sports,104.4,1,21.5,31.0,Male,South,False,2
2023-10-10,Electronics,204.29999999999998,13,18.7,25.0,Female,East,False,4
2023-10-11,Books,75.49,7,11.0,43.0,Female,South,False,4
2023-10-12,Electronics,166.59,5,15.3,36.0,Male,North,False,4
2023-10-13,Sports,88.2,8,4.0,27.0,Other,North,False,4
2023-10-14,Books,80.688,14,16.8,,Female,North,True,4
2023-10-15,Sports,110.68,13,4.5,38.0,Male,East,True,3
2023-10-16,Home,105.73,15,17.3,13.0,Female,North,False,3
2023-10-17,Books,101.39,17,5.7,,Other,East,False,4
2023-10-18,Home,59.2,15,2.9,37.0,Other,East,False,4
2023-10-19,Electronics,183.585,18,4.1,52.0,Other,North,False,5
2023-10-20,Electronics,179.04,18,0.0,36.0,Male,South,False,5
2023-10-21,Books,131.92000000000002,2,18.0,25.0,Male,West,True,5
2023-10-22,Books,72.616,4,,33.0,Other,East,True,3
2023-10-23,Sports,106.57,1,12.9,45.0,Male,North,False,2
2023-10-24,Sports,107.48,4,4.0,26.0,Other,East,False,3
2023-10-25,Home,147.32,18,2.1,30.0,Male,South,False,4
2023-10-26,Books,97.14,5,0.5,32.0,Other,South,False,4
2023-10-27,Electronics,162.555,19,4.1,21.0,Female,North,False,5
2023-10-28,Sports,94.592,15,22.3,26.0,Other,East,True,4
2023-10-29,Sports,84.48,8,6.0,37.0,Other,West,True,5
2023-10-30,Electronics,129.915,17,8.9,49.0,Male,West,False,5
2023-10-31,Sports,105.82,1,2.6,39.0,Male,East,False,2
2023-11-01,Home,132.21,12,5.6,34.0,Male,East,False,4
2023-11-02,Books,69.2,19,13.0,25.0,Male,East,False,4
2023-11-03,Electronics,155.98499999999999,15,15.2,48.0,Male,North,False,3
2023-11-04,Books,63.2,9,6.1,40.0,Male,South,True,4
2023-11-05,Sports,108.68,7,1.4,27.0,Female,West,True,4
2023-11-06,Sports,54.3,2,9.8,46.0,Other,North,False,3
2023-11-07,Electronics,124.845,9,5.9,42.0,Other,East,False,4
2023-11-08,Home,111.32,10,5.5,25.0,Other,East,False,4
2023-11-09,Clothing,146.97,2,24.0,34.0,Female,South,False,2
2023-11-10,Electronics,147.04500000000002,19,15.4,29.0,Other,East,False,4
2023-11-11,Clothing,66.67200000000001,11,13.9,,Female,North,True,3
2023-11-12,Clothing,125.144,13,10.4,41.0,Female,North,True,4
2023-11-13,Home,56.56,10,10.7,37.0,Female,South,False,3
2023-11-14,Clothing,34.04,14,13.5,41.0,Other,North,False,5
2023-11-15,Clothing,113.2,18,,52.0,Female,West,False,4
2023-11-16,Home,84.94,19,17.6,34.0,Other,North,False,3
2023-11-17,Clothing,69.36,9,4.3,28.0,Other,North,False,4
2023-11-18,Clothing,97.0,7,12.5,45.0,Male,North,True,4
2023-11-19,Clothing,85.84800000000001,3,10.3,,Male,West,True,4
2023-11-20,Electronics,124.62,6,21.8,22.0,Female,East,False,4
2023-11-21,Electronics,92.385,2,15.8,20.0,Female,North,False,4
2023-11-22,Electronics,189.255,6,13.3,53.0,Other,South,False,2
2023-11-23,Home,119.51,3,2.9,37.0,Female,West,False,2
2023-11-24,Sports,97.02,16,15.1,28.0,Female,South,False,4
2023-11-25,Clothing,124.32000000000001,8,2.9,,Other,North,True,4
2023-11-26,Clothing,54.32000000000001,2,8.4,45.0,Female,South,True,4
2023-11-27,Home,54.23,17,3.6,31.0,Female,North,False,5
2023-11-28,Clothing,79.24,9,17.3,18.0,Other,West,False,4
2023-11-29,Electronics,147.945,12,5.2,39.0,Other,South,False,5
2023-11-30,Sports,107.3,3,9.8,50.0,Male,South,False,3
2023-12-01,Books,92.76,11,22.4,49.0,Other,North,False,2
2023-12-02,Clothing,88.44800000000001,1,5.1,28.0,Male,North,True,5
2023-12-03,Electronics,74.94000000000001,13,12.7,50.0,Female,East,True,4
2023-12-04,Books,143.31,15,10.5,38.0,Other,North,False,5
2023-12-05,Sports,97.54,5,0.5,50.0,Other,North,False,3
2023-12-06,Books,133.52,17,19.8,42.0,Other,East,False,4
2023-12-07,Electronics,165.42000000000002,6,1.7,17.0,Female,North,False,5
2023-12-08,Books,113.7,11,11.9,56.0,Male,North,False,1
2023-12-09,Home,93.67200000000001,18,14.0,36.0,Female,East,True,5
2023-12-10,Books,90.74400000000001,4,15.7,42.0,Female,West,True,4
2023-12-11,Clothing,119.28,3,17.2,19.0,Other,West,False,4
2023-12-12,Clothing,139.87,13,6.3,41.0,Male,North,False,4
2023-12-13,Home,105.9,9,0.2,48.0,Female,North,False,5
2023-12-14,Electronics,181.905,6,18.1,58.0,Other,East,False,1
2023-12-15,Clothing,97.31,12,13.4,52.0,Female,East,False,3
2023-12-16,Sports,114.56,2,20.9,42.0,Female,West,True,5
2023-12-17,Clothing,63.768,3,20.5,16.0,Other,South,True,5
2023-12-18,Clothing,154.03,3,21.1,,Other,North,False,1
2023-12-19,Electronics,148.2,12,12.1,28.0,Male,South,False,4
2023-12-20,Books,57.08,15,8.3,38.0,Female,South,False,4
2023-12-21,Clothing,103.84,9,19.8,,Other,East,False,4
2023-12-22,Home,79.57,8,11.3,32.0,Other,North,False,3
2023-12-23,Books,100.176,11,,29.0,Male,North,True,4
2023-12-24,Sports,64.336,16,21.4,28.0,Male,East,True,3
2023-12-25,Electronics,129.915,4,22.1,29.0,Other,South,False,5
2023-12-26,Sports,43.31,1,11.7,33.0,Male,East,False,5
2023-12-27,Books,86.43,7,1.9,38.0,Other,West,False,4
2023-12-28,Books,27.28,2,9.7,5.0,Female,North,False,3
2023-12-29,Books,52.48,5,20.1,6.0,Male,West,False,3
2023-12-30,Sports,98.248,7,22.5,31.0,Female,East,True,4
2023-12-31,Books,98.856,4,5.1,33.0,Female,North,True,4
2024-01-01,Sports,112.76,5,,37.0,Female,West,False,4
2024-01-02,Books,70.99,1,21.9,26.0,Other,West,False,4
2024-01-03,Home,98.57,1,9.7,35.0,Female,South,False,4
2024-01-04,Books,99.89,15,13.5,37.0,Female,North,False,3
2024-01-05,Sports,65.25,19,24.2,26.0,Female,West,False,1
2024-01-06,Clothing,116.08,10,1.7,47.0,Other,West,True,1
2024-01-07,Books,101.056,18,16.2,37.0,Female,South,True,3
2024-01-08,Clothing,93.37,3,1.9,42.0,Female,West,False,4
2024-01-09,Home,100.81,11,9.4,36.0,Male,West,False,5
2024-01-10,Electronics,159.375,15,20.1,60.0,Other,West,False,5
2024-01-11,Home,38.75,11,10.8,42.0,Female,South,False,3
2024-01-12,Books,92.58,17,24.9,29.0,Male,West,False,3
2024-01-13,Clothing,63.632000000000005,17,14.0,45.0,Other,West,True,3
2024-01-14,Clothing,55.96000000000001,6,8.0,15.0,Other,North,True,3
2024-01-15,Sports,91.57,5,5.5,36.0,Other,North,False,4
2024-01-16,Clothing,153.93,8,8.8,39.0,Other,South,False,4
2024-01-17,Sports,119.23,2,9.3,37.0,Other,East,False,3
2024-01-18,Electronics,124.28999999999999,16,1.7,31.0,Other,North,False,2
2024-01-19,Books,117.18,12,9.2,23.0,Female,South,False,1
2024-01-20,Sports,113.584,6,11.6,26.0,Female,West,True,3
2024-01-21,Electronics,153.28799999999998,1,18.1,36.0,Female,West,True,4
2024-01-22,Clothing,101.79,4,16.4,22.0,Female,South,False,3
2024-01-23,Clothing,80.59,17,17.7,56.0,Male,West,False,4
2024-01-24,Electronics,181.425,13,0.2,3.0,Female,West,False,4
2024-01-25,Clothing,111.8,18,5.4,,Other,East,False,5
2024-01-26,Electronics,190.29,5,16.5,36.0,Female,West,False,5
2024-01-27,Sports,95.248,3,12.1,41.0,Female,North,True,4
2024-01-28,Sports,105.19200000000001,11,0.1,24.0,Other,West,True,1
2024-01-29,Electronics,125.91,13,,49.0,Female,South,False,4
2024-01-30,Sports,139.52,4,19.3,18.0,Female,East,False,5
2024-01-31,Sports,105.93,14,13.7,28.0,Female,West,False,1
2024-02-01,Sports,162.26,11,1.7,42.0,Male,South,False,4
2024-02-02,Home,79.32,10,19.2,,Female,North,False,5
2024-02-03,Books,121.66400000000002,19,14.6,18.0,Other,West,True,4
2024-02-04,Clothing,84.75200000000001,18,19.5,67.0,Other,East,True,1
2024-02-05,Home,80.46,6,18.8,24.0,Female,West,False,1
2024-02-06,Sports,85.48,15,20.1,,Female,South,False,4
2024-02-07,Electronics,135.585,10,13.0,41.0,Female,East,False,3
2024-02-08,Sports,112.72,5,3.5,31.0,Other,West,False,4
